# Assembly Statistics Report
# Assembly name:  ASM2712v1
# Organism name:  Escherichia coli 042 (E. coli)
# Infraspecific name:  strain=042
# Taxid:          216592
# BioSample:      SAMEA2272277
# BioProject:     PRJEA40647
# Submitter:      Wellcome Trust Sanger Institute
# Date:           2010-01-28
# Assembly type:  na
# Release type:   major
# Assembly level: Complete Genome
# Genome representation: full
# GenBank assembly accession: GCA_000027125.1
# RefSeq assembly accession: GCF_000027125.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000027135.1	GCF_000027135.1	Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
Primary Assembly	na	Chromosome	all	unspanned-gaps	0
Primary Assembly	na	Chromosome	all	gc-perc	50.5
Primary Assembly	na	Chromosome	assembled-molecule	total-length	5241977
Primary Assembly	na	Chromosome	assembled-molecule	ungapped-length	5241977
Primary Assembly	na	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	na	Chromosome	assembled-molecule	scaffold-N50	5241977
Primary Assembly	na	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	na	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	na	Chromosome	assembled-molecule	gc-perc	50.5
Primary Assembly	na	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	na	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	na	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	na	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	na	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	na	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	pAA	Plasmid	all	total-length	113346
Primary Assembly	pAA	Plasmid	all	ungapped-length	113346
Primary Assembly	pAA	Plasmid	all	scaffold-count	1
Primary Assembly	pAA	Plasmid	all	scaffold-N50	113346
Primary Assembly	pAA	Plasmid	all	spanned-gaps	0
Primary Assembly	pAA	Plasmid	all	unspanned-gaps	0
Primary Assembly	pAA	Plasmid	all	gc-perc	49.5
Primary Assembly	pAA	Plasmid	assembled-molecule	total-length	113346
Primary Assembly	pAA	Plasmid	assembled-molecule	ungapped-length	113346
Primary Assembly	pAA	Plasmid	assembled-molecule	scaffold-count	1
Primary Assembly	pAA	Plasmid	assembled-molecule	scaffold-N50	113346
Primary Assembly	pAA	Plasmid	assembled-molecule	spanned-gaps	0
Primary Assembly	pAA	Plasmid	assembled-molecule	unspanned-gaps	0
Primary Assembly	pAA	Plasmid	assembled-molecule	gc-perc	49.5
Primary Assembly	pAA	Plasmid	unlocalized-scaffold	total-length	0
Primary Assembly	pAA	Plasmid	unlocalized-scaffold	ungapped-length	0
Primary Assembly	pAA	Plasmid	unlocalized-scaffold	scaffold-count	0
Primary Assembly	pAA	Plasmid	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	pAA	Plasmid	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	pAA	Plasmid	unlocalized-scaffold	unspanned-gaps	0
