#Annotated with Bakta v1.9.4, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_53	105	257	+	KLHPPI_00740	5.8	10.7		
contig_53	653	874	-	KLHPPI_00745	8.1	11.5		
contig_54	4	348	+	KLHPPI_00750	12.4	6.3		
contig_55	176	1393	-	KLHPPI_00760	46.6	10.4		
contig_55	1390	1623	-	KLHPPI_00765	8.8	9.3		
contig_56	954	1202	+	KLHPPI_00770	8.9	11.7		
contig_57	142	1074	+	KLHPPI_00775	34.6	11.8		
contig_57	1264	1440	+	KLHPPI_00780	6.8	8.4		
contig_58	88	357	+	KLHPPI_00790	9.7	10.4		
contig_58	577	768	+	KLHPPI_00795	6.9	11.4		
contig_58	814	1044	+	KLHPPI_00800	8.3	9.8		
contig_58	1403	2497	-	KLHPPI_00805	37.4	4.8		
contig_59	4	108	+	KLHPPI_00810	3.9	10.0	PF00165.26|HTH_AraC, PF12833.10|HTH_18	PFAM:PF00165.26, PFAM:PF12833.10
contig_60	71	565	+	KLHPPI_00825	15.3	4.1		
contig_60	1168	1401	-	KLHPPI_00830	8.8	12.0		
contig_61	36	194	+	KLHPPI_00835	5.8	10.0		
contig_61	746	1573	-	KLHPPI_00840	30.0	12.0		
contig_62	286	780	+	KLHPPI_00845	19.8	5.4		
contig_62	1267	2016	-	KLHPPI_00850	27.7	12.0		
contig_63	14	328	+	KLHPPI_00855	11.6	6.1		
contig_63	2489	3727	-	KLHPPI_00870	43.9	6.9		
contig_64	143	1612	+	KLHPPI_00875	51.1	5.1		
contig_65	1845	3638	-	KLHPPI_00885	66.0	10.0	PF13439.9|Glyco_transf_4, PF13579.9|Glyco_trans_4_4	PFAM:PF13439.9, PFAM:PF13579.9
contig_66	355	1185	+	KLHPPI_00890	31.1	9.2	PF00206.23|Lyase_1, PF10397.12|ADSL_C	PFAM:PF00206.23, PFAM:PF10397.12
contig_66	1205	1648	+	KLHPPI_00895	15.3	9.8		
contig_67	181	1323	+	KLHPPI_00900	41.7	6.6		
contig_67	1320	1520	-	KLHPPI_00905	7.9	11.8		
contig_69	43	513	+	KLHPPI_00910	16.3	4.8		
contig_70	209	520	+	KLHPPI_00920	11.8	6.2		
contig_70	1323	2015	-	KLHPPI_00930	23.9	6.9		
contig_72	142	297	-	KLHPPI_00940	5.7	5.1		
contig_73	5	178	+	KLHPPI_00950	6.1	6.0		
contig_73	175	717	+	KLHPPI_00955	20.1	5.2		
contig_73	714	1142	+	KLHPPI_00960	16.0	5.0		
contig_73	1139	1552	+	KLHPPI_00965	14.8	7.0		
contig_73	1549	1683	+	KLHPPI_00970	4.8	4.2		
contig_73	1680	1850	+	KLHPPI_00975	6.0	9.5		
contig_73	1847	2401	+	KLHPPI_00980	20.8	9.8		
contig_73	2405	2620	+	KLHPPI_00985	7.8	8.5		
contig_73	2617	3135	+	KLHPPI_00990	18.4	9.3	PF08299.14|Bac_DnaA_C	PFAM:PF08299.14
contig_75	16	861	+	KLHPPI_01005	30.8	11.3		
contig_75	956	1915	+	KLHPPI_01010	36.2	6.4		
contig_75	1978	2955	+	KLHPPI_01015	36.8	6.6		
contig_76	1684	1941	-	KLHPPI_01040	9.2	6.6	PF00072.27|Response_reg	PFAM:PF00072.27
contig_77	23	478	+	KLHPPI_01045	16.4	6.9	PF00035.29|dsrm	PFAM:PF00035.29
contig_77	352	1731	-	KLHPPI_01050	50.4	5.2		
contig_78	65	235	+	KLHPPI_01055	6.0	9.8		
contig_78	256	2181	-	KLHPPI_01060	69.3	6.1		
contig_78	2365	2937	-	KLHPPI_01065	19.9	5.6	PF00072.27|Response_reg, PF02518.29|HATPase_c	PFAM:PF00072.27, PFAM:PF02518.29
contig_80	3535	3711	-	KLHPPI_01085	6.1	10.3		
contig_81	211	939	+	KLHPPI_01090	25.6	5.5		
contig_82	13	1344	-	KLHPPI_01100	48.4	6.4	PF00205.25|TPP_enzyme_M, PF02776.21|TPP_enzyme_N	PFAM:PF00205.25, PFAM:PF02776.21
contig_82	1362	1598	-	KLHPPI_01105	8.8	7.9		
contig_83	1005	1625	-	KLHPPI_01115	22.3	12.0		
contig_84	40	324	+	KLHPPI_01120	10.5	9.9	PF08029.14|HisG_C	PFAM:PF08029.14
contig_85	74	847	+	KLHPPI_01130	28.3	5.9		
contig_86	372	2015	-	KLHPPI_01135	53.5	4.1		
contig_87	414	635	+	KLHPPI_01140	7.8	11.4		
contig_90	112	360	-	KLHPPI_01185	8.5	10.3		
contig_90	2825	3502	-	KLHPPI_01190	24.1	4.3		
contig_91	263	568	+	KLHPPI_01195	10.8	5.4		
contig_92	4781	4984	+	KLHPPI_01225	7.6	4.1		
contig_92	5731	6240	-	KLHPPI_01235	18.8	6.6	PF11799.11|IMS_C	PFAM:PF11799.11
contig_93	127	753	+	KLHPPI_01240	21.7	8.4	PF00085.23|Thioredoxin, PF00578.24|AhpC-TSA, PF08534.13|Redoxin, PF13905.9|Thioredoxin_8	PFAM:PF00085.23, PFAM:PF00578.24, PFAM:PF08534.13, PFAM:PF13905.9
contig_95	349	537	+	KLHPPI_01255	6.9	12.0		
contig_98	85	270	+	KLHPPI_01290	6.9	11.7		
contig_98	954	2015	-	KLHPPI_01295	38.3	7.0	PF17768.4|RecJ_OB	PFAM:PF17768.4
contig_99	30	1040	+	KLHPPI_01300	38.2	9.1	PF09299.14|Mu-transpos_C	PFAM:PF09299.14
contig_100	74	199	+	KLHPPI_01310	4.4	9.4	PF07499.16|RuvA_C	PFAM:PF07499.16
contig_100	1289	1486	-	KLHPPI_01320	7.2	6.0		
contig_101	424	582	-	KLHPPI_01325	5.8	12.0		
contig_101	1109	2014	-	KLHPPI_01330	32.0	4.7		
contig_102	29	955	+	KLHPPI_01335	33.7	6.5	PF13439.9|Glyco_transf_4, PF13524.9|Glyco_trans_1_2, PF13692.9|Glyco_trans_1_4	PFAM:PF13439.9, PFAM:PF13524.9, PFAM:PF13692.9
contig_103	582	1337	-	KLHPPI_01350	28.1	7.8		
contig_103	1334	2491	-	KLHPPI_01355	40.4	5.6	PF00082.25|Peptidase_S8	PFAM:PF00082.25
contig_103	2524	2856	-	KLHPPI_01360	12.6	5.5		
contig_104	1361	2155	-	KLHPPI_01370	27.8	6.0		
contig_106	68	1765	+	KLHPPI_01385	60.4	8.2		
contig_107	1	1089	+	KLHPPI_01395	39.3	6.0		
contig_107	1156	1599	-	KLHPPI_01400	16.0	5.3		
contig_107	1633	1947	-	KLHPPI_01405	11.6	4.9		
contig_108	219	983	+	KLHPPI_01420	26.8	6.6		
contig_111	882	1331	+	KLHPPI_01475	15.7	8.9		
contig_111	1341	2216	+	KLHPPI_01480	31.2	9.5		
contig_112	530	1060	+	KLHPPI_01505	20.3	9.2		
contig_112	1247	1561	-	KLHPPI_01510	12.3	4.7	PF05016.18|ParE_toxin	PFAM:PF05016.18
contig_112	1653	1934	-	KLHPPI_01515	10.9	9.6		
contig_114	467	1291	-	KLHPPI_01530	27.4	4.1		
contig_115	16	435	+	KLHPPI_01535	15.4	6.6	PF00072.27|Response_reg	PFAM:PF00072.27
contig_115	2099	3121	+	KLHPPI_01555	33.3	4.1		
contig_118	874	1488	+	KLHPPI_01590	23.1	10.2		
contig_119	33	209	+	KLHPPI_01595	6.3	6.1		
contig_121	65	985	+	KLHPPI_01625	32.7	8.2	PF00324.24|AA_permease	PFAM:PF00324.24
contig_122	53	1036	+	KLHPPI_01635	36.7	9.8	PF14849.9|YidC_periplas	PFAM:PF14849.9
contig_122	1155	1529	-	KLHPPI_01640	12.4	4.1		
contig_123	26	907	+	KLHPPI_01645	30.9	8.8	PF01339.20|CheB_methylest	PFAM:PF01339.20
contig_124	25	1092	+	KLHPPI_01660	40.1	5.8	PF01272.22|GreA_GreB, PF03449.18|GreA_GreB_N	PFAM:PF01272.22, PFAM:PF03449.18
contig_125	17	1843	-	KLHPPI_01665	68.2	5.8		
contig_125	1809	5978	-	KLHPPI_01670	153.2	5.7	PF00703.24|Glyco_hydro_2, PF02837.21|Glyco_hydro_2_N	PFAM:PF00703.24, PFAM:PF02837.21
contig_125	6059	7141	-	KLHPPI_01675	39.8	8.9	PF00356.24|LacI, PF13377.9|Peripla_BP_3	PFAM:PF00356.24, PFAM:PF13377.9
contig_125	7163	7750	-	KLHPPI_01680	19.4	4.5		
contig_126	1361	1600	+	KLHPPI_01690	8.3	9.5		
contig_127	1923	2132	-	KLHPPI_01720	7.3	6.7		
contig_130	36	656	+	KLHPPI_01760	22.3	5.4		
contig_130	2353	3621	+	KLHPPI_01770	44.2	7.8	PF00672.28|HAMP	PFAM:PF00672.28
contig_131	1593	1760	+	KLHPPI_01795	6.1	9.7		
contig_132	243	620	-	KLHPPI_01805	13.9	7.8		
contig_132	617	1000	-	KLHPPI_01810	13.9	4.9		
contig_132	1450	2313	-	KLHPPI_01820	28.7	5.3		
contig_132	2318	2581	-	KLHPPI_01825	9.1	4.5		
contig_132	2701	2868	+	KLHPPI_01830	6.0	10.5		
contig_132	2877	3560	+	KLHPPI_01835	24.7	9.2		
contig_134	57	1088	+	KLHPPI_01850	37.0	6.6		
contig_134	1116	1832	+	KLHPPI_01855	25.3	11.0		
contig_134	1843	2211	-	KLHPPI_01860	13.3	4.4		
contig_134	2313	2543	+	KLHPPI_01865	8.6	12.0		
contig_135	109	735	+	KLHPPI_01870	23.5	5.5	PF00248.24|Aldo_ket_red	PFAM:PF00248.24
contig_135	1374	1691	-	KLHPPI_01880	11.1	8.8		
contig_136	5	787	+	KLHPPI_01885	27.3	4.4		
contig_136	3972	6761	-	KLHPPI_01910	101.8	6.2		
contig_137	439	1068	-	KLHPPI_01915	22.9	12.0		
contig_138	54	725	+	KLHPPI_01920	24.5	4.6		
contig_138	704	2845	-	KLHPPI_01925	68.8	4.8		
contig_139	12	107	+	KLHPPI_01930	3.4	4.1		
contig_139	342	761	-	KLHPPI_01935	15.7	5.9		
contig_139	761	1048	-	KLHPPI_01940	10.6	10.0		
contig_139	1045	1566	-	KLHPPI_01945	19.4	9.4	PF04542.17|Sigma70_r2, PF04545.19|Sigma70_r4, PF08281.15|Sigma70_r4_2	PFAM:PF04542.17, PFAM:PF04545.19, PFAM:PF08281.15
contig_140	3108	3557	-	KLHPPI_01965	17.1	8.0		
contig_141	86	910	-	KLHPPI_01970	31.2	6.3		
contig_143	312	1574	-	KLHPPI_01995	45.7	5.8	PF03629.21|SASA	PFAM:PF03629.21
contig_144	59	1333	+	KLHPPI_02000	47.7	6.3		
contig_145	216	1172	-	KLHPPI_02020	34.8	6.0	PF09865.12|DUF2092	PFAM:PF09865.12
contig_145	2277	2762	-	KLHPPI_02030	18.1	4.5	PF17944.4|Arg_decarbox_C	PFAM:PF17944.4
contig_147	66	1739	+	KLHPPI_02045	61.3	6.2	PF00072.27|Response_reg, PF00512.28|HisKA, PF00989.28|PAS, PF02518.29|HATPase_c, PF08448.13|PAS_4, PF13188.10|PAS_8	PFAM:PF00072.27, PFAM:PF00512.28, PFAM:PF00989.28, PFAM:PF02518.29, PFAM:PF08448.13, PFAM:PF13188.10
contig_147	1788	2216	-	KLHPPI_02050	14.4	11.7		
contig_148	15	308	+	KLHPPI_02055	10.7	10.2		
contig_148	332	1156	+	KLHPPI_02060	30.5	5.7		
contig_149	555	1061	+	KLHPPI_02075	17.8	6.1		
contig_149	1765	2583	-	KLHPPI_02090	29.8	5.4	PF00515.31|TPR_1, PF03704.20|BTAD, PF07719.20|TPR_2, PF07721.17|TPR_4, PF13176.9|TPR_7, PF13181.9|TPR_8, PF13374.9|TPR_10, PF13414.9|TPR_11, PF13424.9|TPR_12, PF13428.9|TPR_14, PF13431.9|TPR_17, PF13432.9|TPR_16, PF14559.9|TPR_19, PF14561.9|TPR_20	PFAM:PF00515.31, PFAM:PF03704.20, PFAM:PF07719.20, PFAM:PF07721.17, PFAM:PF13176.9, PFAM:PF13181.9, PFAM:PF13374.9, PFAM:PF13414.9, PFAM:PF13424.9, PFAM:PF13428.9, PFAM:PF13431.9, PFAM:PF13432.9, PFAM:PF14559.9, PFAM:PF14561.9
contig_150	134	1642	-	KLHPPI_02095	50.9	4.1		
contig_151	326	1507	+	KLHPPI_02100	41.5	11.0		
contig_157	745	1416	-	KLHPPI_02170	24.4	6.6		
contig_158	1158	1469	-	KLHPPI_02175	11.3	12.0		
contig_159	1196	2272	-	KLHPPI_02185	36.9	4.1		
contig_160	2242	3555	+	KLHPPI_02200	49.4	11.9		
contig_160	3552	4217	+	KLHPPI_02205	22.1	12.0		
contig_163	112	2133	+	KLHPPI_02215	75.7	6.0		
contig_165	407	799	-	KLHPPI_02230	14.3	5.5		
contig_165	932	1543	-	KLHPPI_02235	22.4	5.1	PF06452.14|CBM9_1	PFAM:PF06452.14
contig_165	1577	2476	-	KLHPPI_02240	33.6	10.3	PF13377.9|Peripla_BP_3	PFAM:PF13377.9
contig_166	208	729	-	KLHPPI_02245	18.8	4.7		
contig_166	722	1555	-	KLHPPI_02250	30.5	9.9		
contig_168	151	1065	-	KLHPPI_02270	34.0	5.9	PF08843.14|AbiEii	PFAM:PF08843.14
contig_168	1046	1318	-	KLHPPI_02275	10.2	8.3		
contig_168	1869	2102	+	KLHPPI_02280	8.8	9.9		
contig_168	2493	3329	+	KLHPPI_02285	31.8	10.2		
contig_169	1	609	+	KLHPPI_02290	22.1	6.7	PF00211.23|Guanylate_cyc	PFAM:PF00211.23
contig_169	610	891	+	KLHPPI_02295	10.0	5.0		
contig_169	2161	3084	-	KLHPPI_02305	34.4	9.2		
contig_170	81	740	+	KLHPPI_02310	22.7	4.5		
contig_170	801	1871	+	KLHPPI_02315	38.8	10.1	PF00356.24|LacI, PF00532.24|Peripla_BP_1, PF13377.9|Peripla_BP_3	PFAM:PF00356.24, PFAM:PF00532.24, PFAM:PF13377.9
contig_171	1930	2118	-	KLHPPI_02335	6.8	4.2		
contig_172	5320	5601	-	KLHPPI_02370	9.5	10.3	PF01253.25|SUI1	PFAM:PF01253.25
contig_173	17	253	+	KLHPPI_02375	8.5	4.1		
contig_173	1341	1757	-	KLHPPI_02385	16.0	11.4	PF07730.16|HisKA_3	PFAM:PF07730.16
contig_175	68	1252	+	KLHPPI_02400	42.8	6.0	PF07085.15|DRTGG	PFAM:PF07085.15
contig_175	1288	1431	-	KLHPPI_02405	5.0	8.3		
contig_176	53	508	+	KLHPPI_02410	17.7	5.2		
contig_176	565	1467	+	KLHPPI_02415	32.3	5.4	PF00294.27|PfkB	PFAM:PF00294.27
contig_176	1479	1922	-	KLHPPI_02420	16.3	9.2		
contig_177	86	646	-	KLHPPI_02425	19.2	6.4		
contig_177	643	1338	-	KLHPPI_02430	25.0	6.1	PF07963.15|N_methyl	PFAM:PF07963.15
contig_177	1739	2338	-	KLHPPI_02435	21.1	4.7		
contig_179	20	1201	+	KLHPPI_02445	42.1	10.1		
contig_180	3	146	+	KLHPPI_02465	5.2	4.3		
contig_180	1265	2191	-	KLHPPI_02475	33.7	7.6	PF02614.17|UxaC	PFAM:PF02614.17
contig_181	6	353	+	KLHPPI_02480	11.8	5.2		
contig_181	462	785	+	KLHPPI_02485	11.8	9.6	PF00300.25|His_Phos_1	PFAM:PF00300.25
contig_181	849	1160	+	KLHPPI_02490	11.3	8.0	PF00300.25|His_Phos_1	PFAM:PF00300.25
contig_181	2041	2241	-	KLHPPI_02495	7.3	7.9		
contig_181	2791	2937	-	KLHPPI_02500	5.5	9.8		
contig_182	82	825	+	KLHPPI_02505	26.1	5.2	PF00245.23|Alk_phosphatase	PFAM:PF00245.23
contig_182	1640	3367	+	KLHPPI_02515	63.6	9.9		
contig_184	144	431	-	KLHPPI_02525	10.6	10.7		
contig_184	660	2054	+	KLHPPI_02530	50.9	10.0	PF03629.21|SASA	PFAM:PF03629.21
contig_185	361	570	+	KLHPPI_02535	7.7	11.7		
contig_185	1114	1428	+	KLHPPI_02540	11.2	10.7		
contig_185	1317	1688	-	KLHPPI_02545	13.6	5.8	PF00009.30|GTP_EFTU	PFAM:PF00009.30
contig_190	1334	1576	-	KLHPPI_02605	9.2	9.3		
contig_192	197	463	+	KLHPPI_02615	9.1	9.8		
contig_192	502	1185	+	KLHPPI_02620	23.2	4.2		
contig_194	27	1343	-	KLHPPI_02630	45.6	4.5		
contig_194	1577	1870	-	KLHPPI_02635	10.6	5.0		
contig_196	182	2473	+	KLHPPI_02645	76.7	5.5		
contig_197	121	1470	+	KLHPPI_02650	48.5	5.8	PF13174.9|TPR_6	PFAM:PF13174.9
contig_197	1904	2188	-	KLHPPI_02655	9.4	11.9		
contig_198	2586	2849	-	KLHPPI_02670	9.5	6.8	PF02604.22|PhdYeFM_antitox	PFAM:PF02604.22
contig_199	195	794	-	KLHPPI_02680	21.6	11.8		
contig_199	1256	2068	-	KLHPPI_02685	28.4	8.5	PF00106.28|adh_short, PF13561.9|adh_short_C2	PFAM:PF00106.28, PFAM:PF13561.9
contig_200	8	1087	+	KLHPPI_02695	38.2	8.8	PF01565.26|FAD_binding_4, PF02913.22|FAD-oxidase_C	PFAM:PF01565.26, PFAM:PF02913.22
contig_200	1638	1766	-	KLHPPI_02705	4.8	6.1		
contig_201	2556	3170	-	KLHPPI_02720	23.3	6.5		
contig_203	1444	1623	-	KLHPPI_02745	6.2	8.4		
contig_204	212	664	+	KLHPPI_02750	16.8	5.6		
contig_204	4000	4737	+	KLHPPI_02765	24.8	12.0		
contig_206	688	1041	-	KLHPPI_02775	12.7	10.7		
contig_209	560	1474	+	KLHPPI_02790	33.4	8.5		
contig_209	1612	3570	-	KLHPPI_02795	64.2	4.6		
contig_209	4706	5284	-	KLHPPI_02805	20.5	5.4		
contig_210	55	378	+	KLHPPI_02810	11.6	5.1		
contig_210	1174	1563	+	KLHPPI_02820	13.0	9.4		
contig_211	958	1329	-	KLHPPI_02840	13.0	6.7		
contig_212	6	125	+	KLHPPI_02845	4.3	4.9		
contig_213	1310	1675	-	KLHPPI_02865	12.8	6.9		
contig_214	556	831	+	KLHPPI_02870	10.0	9.8		
contig_214	2081	2656	-	KLHPPI_02880	21.0	6.4	PF00117.31|GATase, PF07722.16|Peptidase_C26	PFAM:PF00117.31, PFAM:PF07722.16
contig_214	2668	2757	-	KLHPPI_02885	3.0	9.7		
contig_215	104	616	+	KLHPPI_02890	17.5	5.6	PF13524.9|Glyco_trans_1_2, PF13692.9|Glyco_trans_1_4	PFAM:PF13524.9, PFAM:PF13692.9
contig_215	1870	2064	-	KLHPPI_02900	7.1	6.4		
contig_218	307	672	+	KLHPPI_02930	12.8	6.5		
contig_219	1472	2005	+	KLHPPI_02950	17.6	6.7		
contig_222	80	1384	-	KLHPPI_02985	46.2	10.1		
contig_223	194	610	-	KLHPPI_02990	14.6	7.9		
contig_225	109	426	+	KLHPPI_03015	10.7	8.0		
contig_225	445	1155	+	KLHPPI_03020	25.8	9.1		
contig_225	1743	2354	-	KLHPPI_03030	21.2	7.0		
contig_226	302	1201	-	KLHPPI_03035	33.6	12.0		
contig_226	1328	1837	-	KLHPPI_03040	18.5	9.1		
contig_227	1120	1602	-	KLHPPI_03050	17.3	6.9	PF07683.17|CobW_C	PFAM:PF07683.17
contig_228	1526	2086	-	KLHPPI_03065	21.1	6.0	PF02894.20|GFO_IDH_MocA_C	PFAM:PF02894.20
contig_229	1947	2234	-	KLHPPI_03080	9.3	5.5		
contig_229	2363	3763	-	KLHPPI_03085	51.5	5.5	PF00512.28|HisKA, PF00672.28|HAMP, PF02518.29|HATPase_c	PFAM:PF00512.28, PFAM:PF00672.28, PFAM:PF02518.29
contig_230	14	358	+	KLHPPI_03095	12.4	9.0		
contig_230	3713	4426	-	KLHPPI_03120	23.5	4.1		
contig_231	153	1130	+	KLHPPI_03125	33.6	4.4		
contig_233	655	1629	+	KLHPPI_03150	36.1	11.4		
contig_233	1572	2360	-	KLHPPI_03155	27.1	8.6		
contig_234	71	1459	+	KLHPPI_03160	50.1	8.4	PF00034.24|Cytochrom_C, PF13442.9|Cytochrome_CBB3	PFAM:PF00034.24, PFAM:PF13442.9
contig_237	19	171	+	KLHPPI_03190	5.4	4.7		
contig_237	1360	1455	-	KLHPPI_03200	3.7	12.0		
contig_237	2023	2223	-	KLHPPI_03205	7.3	10.0		
contig_237	2254	2763	-	KLHPPI_03210	18.7	12.0		
contig_239	486	683	+	KLHPPI_03220	6.7	12.0		
contig_239	862	1989	-	KLHPPI_03225	40.3	4.4		
contig_242	8	745	+	KLHPPI_03240	27.0	6.8		
contig_242	1696	1785	-	KLHPPI_03250	3.5	6.0		
contig_243	499	831	+	KLHPPI_03255	12.1	12.0		
contig_243	1054	2979	-	KLHPPI_03260	61.5	4.6		
contig_244	84	890	+	KLHPPI_03265	29.8	6.0	PF00984.22|UDPG_MGDP_dh, PF03720.18|UDPG_MGDP_dh_C	PFAM:PF00984.22, PFAM:PF03720.18
contig_246	70	738	-	KLHPPI_03290	23.8	12.0		
contig_246	1488	1907	-	KLHPPI_03300	15.0	6.9	PF00677.20|Lum_binding	PFAM:PF00677.20
contig_248	109	1047	+	KLHPPI_03320	34.2	5.3		
contig_249	1898	1993	-	KLHPPI_03335	3.2	9.5		
contig_250	71	622	+	KLHPPI_03340	19.3	7.7		
contig_250	1832	2101	-	KLHPPI_03350	9.7	9.3		
contig_253	922	2583	-	KLHPPI_03375	58.9	5.8		
contig_254	605	2302	-	KLHPPI_03380	59.3	5.1		
contig_256	4002	4427	-	KLHPPI_03425	15.0	11.6		
contig_258	114	938	+	KLHPPI_03440	29.9	4.7		
contig_258	1005	1619	+	KLHPPI_03445	23.0	9.1		
contig_259	38	169	+	KLHPPI_03450	4.7	4.9		
