locus_tag	ftype	length_bp	gene	EC_number	COG	product
NIDNPDGF_00047	CDS	1590				hypothetical protein
NIDNPDGF_00048	gene	147	trpC			
NIDNPDGF_00048	CDS	147	trpC			Indole-3-glycerol phosphate synthase
NIDNPDGF_00049	gene	1455				
NIDNPDGF_00049	CDS	1455				hypothetical protein
NIDNPDGF_00050	gene	246				
NIDNPDGF_00050	CDS	246				hypothetical protein
NIDNPDGF_00051	gene	909	mntA			
NIDNPDGF_00051	CDS	909	mntA		COG0803	Manganese-binding lipoprotein MntA
NIDNPDGF_00052	gene	834	znuC			
NIDNPDGF_00052	CDS	834	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
NIDNPDGF_00053	gene	831	znuB			
NIDNPDGF_00053	CDS	831	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
NIDNPDGF_00054	gene	222				
NIDNPDGF_00054	CDS	222				hypothetical protein
NIDNPDGF_00055	gene	249				
NIDNPDGF_00055	CDS	249				hypothetical protein
NIDNPDGF_00056	gene	1020	lpxD			
NIDNPDGF_00056	CDS	1020	lpxD	2.3.1.191		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
NIDNPDGF_00057	gene	1170				
NIDNPDGF_00057	CDS	1170				hypothetical protein
NIDNPDGF_00058	gene	909				
NIDNPDGF_00058	CDS	909				hypothetical protein
NIDNPDGF_00059	gene	231				
NIDNPDGF_00059	CDS	231				hypothetical protein
NIDNPDGF_00060	gene	1245				
NIDNPDGF_00060	CDS	1245				hypothetical protein
NIDNPDGF_00061	gene	1095	dnaN			
NIDNPDGF_00061	CDS	1095	dnaN		COG0592	Beta sliding clamp
NIDNPDGF_00062	gene	579				
NIDNPDGF_00062	CDS	579				hypothetical protein
NIDNPDGF_00063	gene	1272	rcsC_1			
NIDNPDGF_00063	CDS	1272	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
NIDNPDGF_00064	gene	1971				
NIDNPDGF_00064	CDS	1971				hypothetical protein
NIDNPDGF_00065	gene	906	bcsA			
NIDNPDGF_00065	CDS	906	bcsA	2.4.1.12	COG1215	Cellulose synthase catalytic subunit [UDP-forming]
NIDNPDGF_00066	gene	519				
NIDNPDGF_00066	CDS	519				hypothetical protein
NIDNPDGF_00067	gene	648				
NIDNPDGF_00067	CDS	648				hypothetical protein
NIDNPDGF_00068	gene	744				
NIDNPDGF_00068	CDS	744				hypothetical protein
NIDNPDGF_00069	gene	933	COQ5_1			
NIDNPDGF_00069	CDS	933	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
NIDNPDGF_00070	gene	939				
NIDNPDGF_00070	CDS	939				hypothetical protein
NIDNPDGF_00071	gene	1410				
NIDNPDGF_00071	CDS	1410				hypothetical protein
NIDNPDGF_00072	gene	855				
NIDNPDGF_00072	CDS	855				hypothetical protein
NIDNPDGF_00073	gene	2223	rcsC_2			
NIDNPDGF_00073	CDS	2223	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
NIDNPDGF_00074	gene	402				
NIDNPDGF_00074	CDS	402				hypothetical protein
NIDNPDGF_00075	gene	1164	xerC_1			
NIDNPDGF_00075	CDS	1164	xerC_1			Tyrosine recombinase XerC
NIDNPDGF_00076	gene	222				
NIDNPDGF_00076	CDS	222				hypothetical protein
NIDNPDGF_00077	gene	243				
NIDNPDGF_00077	CDS	243				hypothetical protein
NIDNPDGF_00078	gene	1065	glgX			
NIDNPDGF_00078	CDS	1065	glgX	3.2.1.-	COG1523	Glycogen operon protein GlgX 
NIDNPDGF_00079	gene	720	macB_1			
NIDNPDGF_00079	CDS	720	macB_1	3.6.3.-		Macrolide export ATP-binding/permease protein MacB
NIDNPDGF_00080	gene	324				
NIDNPDGF_00080	CDS	324				hypothetical protein
NIDNPDGF_00081	gene	399				
NIDNPDGF_00081	CDS	399				hypothetical protein
NIDNPDGF_00082	gene	897	rny			
NIDNPDGF_00082	CDS	897	rny	3.1.-.-		Ribonuclease Y
NIDNPDGF_00083	gene	522	cheD			
NIDNPDGF_00083	CDS	522	cheD	3.5.1.44	COG1871	Chemoreceptor glutamine deamidase CheD
NIDNPDGF_00084	gene	285				
NIDNPDGF_00084	CDS	285				hypothetical protein
NIDNPDGF_00085	gene	426				
NIDNPDGF_00085	CDS	426				hypothetical protein
NIDNPDGF_00086	gene	543				
NIDNPDGF_00086	CDS	543				hypothetical protein
NIDNPDGF_00087	gene	417				
NIDNPDGF_00087	CDS	417				hypothetical protein
NIDNPDGF_00088	gene	1059	rfaQ			
NIDNPDGF_00088	CDS	1059	rfaQ	2.-.-.-	COG0859	Lipopolysaccharide core heptosyltransferase RfaQ
NIDNPDGF_00089	gene	945				
NIDNPDGF_00089	CDS	945				hypothetical protein
NIDNPDGF_00090	gene	807				
NIDNPDGF_00090	CDS	807				hypothetical protein
NIDNPDGF_00091	gene	801	lnrL			
NIDNPDGF_00091	CDS	801	lnrL	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
NIDNPDGF_00092	gene	651				
NIDNPDGF_00092	CDS	651				hypothetical protein
NIDNPDGF_00093	gene	771				
NIDNPDGF_00093	CDS	771				hypothetical protein
NIDNPDGF_00094	gene	501				
NIDNPDGF_00094	CDS	501				hypothetical protein
NIDNPDGF_00095	gene	1044	epsE			
NIDNPDGF_00095	CDS	1044	epsE		COG2804	Type II secretion system protein E
NIDNPDGF_00096	gene	1251	gspF			
NIDNPDGF_00096	CDS	1251	gspF		COG1459	Putative type II secretion system protein F
NIDNPDGF_00097	gene	582				
NIDNPDGF_00097	CDS	582				hypothetical protein
NIDNPDGF_00098	gene	681				
NIDNPDGF_00098	CDS	681				hypothetical protein
NIDNPDGF_00099	gene	192				
NIDNPDGF_00099	CDS	192				hypothetical protein
NIDNPDGF_00100	gene	417				
NIDNPDGF_00100	CDS	417				hypothetical protein
NIDNPDGF_00101	gene	465				
NIDNPDGF_00101	CDS	465				hypothetical protein
NIDNPDGF_00102	gene	927				
NIDNPDGF_00102	CDS	927				hypothetical protein
NIDNPDGF_00103	gene	1038	tsaD			
NIDNPDGF_00103	CDS	1038	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
NIDNPDGF_00104	gene	327				
NIDNPDGF_00104	CDS	327				hypothetical protein
NIDNPDGF_00105	gene	357				
NIDNPDGF_00105	CDS	357				hypothetical protein
NIDNPDGF_00106	gene	771	mtnB			
NIDNPDGF_00106	CDS	771	mtnB	4.2.1.109		Methylthioribulose-1-phosphate dehydratase
NIDNPDGF_00107	gene	537				
NIDNPDGF_00107	CDS	537				hypothetical protein
NIDNPDGF_00108	gene	636				
NIDNPDGF_00108	CDS	636				hypothetical protein
NIDNPDGF_00109	gene	273				
NIDNPDGF_00109	CDS	273				hypothetical protein
NIDNPDGF_00110	gene	1179				
NIDNPDGF_00110	CDS	1179				hypothetical protein
NIDNPDGF_00111	gene	960				
NIDNPDGF_00111	CDS	960				hypothetical protein
NIDNPDGF_00112	gene	198	fis			
NIDNPDGF_00112	CDS	198	fis			DNA-binding protein Fis
NIDNPDGF_00113	gene	420				
NIDNPDGF_00113	CDS	420				hypothetical protein
NIDNPDGF_00114	gene	74				
NIDNPDGF_00114	tRNA	74				tRNA-Thr(tgt)
NIDNPDGF_00115	gene	684				
NIDNPDGF_00115	CDS	684				hypothetical protein
NIDNPDGF_00116	gene	1158				
NIDNPDGF_00116	CDS	1158				hypothetical protein
NIDNPDGF_00117	gene	357				
NIDNPDGF_00117	CDS	357				hypothetical protein
NIDNPDGF_00118	gene	405				
NIDNPDGF_00118	CDS	405				hypothetical protein
NIDNPDGF_00119	gene	204				
NIDNPDGF_00119	CDS	204				hypothetical protein
NIDNPDGF_00120	gene	774				
NIDNPDGF_00120	CDS	774				hypothetical protein
NIDNPDGF_00121	gene	1401	zraR			
NIDNPDGF_00121	CDS	1401	zraR		COG2204	Transcriptional regulatory protein ZraR
NIDNPDGF_00122	gene	120				
NIDNPDGF_00122	CDS	120				hypothetical protein
NIDNPDGF_00123	gene	1062				
NIDNPDGF_00123	CDS	1062				hypothetical protein
NIDNPDGF_00124	gene	468				
NIDNPDGF_00124	CDS	468				hypothetical protein
NIDNPDGF_00125	gene	74				
NIDNPDGF_00125	tRNA	74				tRNA-Phe(gaa)
NIDNPDGF_00126	gene	561	ubiX			
NIDNPDGF_00126	CDS	561	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
NIDNPDGF_00127	gene	636				
NIDNPDGF_00127	CDS	636				hypothetical protein
NIDNPDGF_00128	gene	258				
NIDNPDGF_00128	CDS	258				hypothetical protein
NIDNPDGF_00129	gene	1941	thiC			
NIDNPDGF_00129	CDS	1941	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
NIDNPDGF_00130	gene	519	rpoC			
NIDNPDGF_00130	CDS	519	rpoC	2.7.7.6		DNA-directed RNA polymerase subunit beta'
NIDNPDGF_00131	gene	1065				
NIDNPDGF_00131	CDS	1065				hypothetical protein
NIDNPDGF_00132	gene	915	btr_1			
NIDNPDGF_00132	CDS	915	btr_1		COG0614	HTH-type transcriptional activator Btr
NIDNPDGF_00133	gene	483	pitA			
NIDNPDGF_00133	CDS	483	pitA		COG0306	Low-affinity inorganic phosphate transporter 1
NIDNPDGF_00134	gene	711				
NIDNPDGF_00134	CDS	711				hypothetical protein
NIDNPDGF_00135	gene	609				
NIDNPDGF_00135	CDS	609				hypothetical protein
NIDNPDGF_00136	gene	219				
NIDNPDGF_00136	CDS	219				hypothetical protein
NIDNPDGF_00137	gene	228				
NIDNPDGF_00137	CDS	228				hypothetical protein
NIDNPDGF_00138	gene	195				
NIDNPDGF_00138	CDS	195				hypothetical protein
NIDNPDGF_00139	gene	1752	argS			
NIDNPDGF_00139	CDS	1752	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
NIDNPDGF_00140	gene	267	relG_1			
NIDNPDGF_00140	CDS	267	relG_1	3.1.-.-	COG2026	Toxin RelG
NIDNPDGF_00141	gene	207				
NIDNPDGF_00141	CDS	207				hypothetical protein
NIDNPDGF_00142	gene	750				
NIDNPDGF_00142	CDS	750				hypothetical protein
NIDNPDGF_00143	gene	348				
NIDNPDGF_00143	CDS	348				hypothetical protein
NIDNPDGF_00144	gene	828	lgt			
NIDNPDGF_00144	CDS	828	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
NIDNPDGF_00145	gene	540	pucL			
NIDNPDGF_00145	CDS	540	pucL		COG3195	Uric acid degradation bifunctional protein PucL
NIDNPDGF_00146	gene	381	coaX			
NIDNPDGF_00146	CDS	381	coaX	2.7.1.33	COG1521	Type III pantothenate kinase
NIDNPDGF_00147	gene	789	artI			
NIDNPDGF_00147	CDS	789	artI		COG0834	ABC transporter arginine-binding protein
NIDNPDGF_00148	gene	360				
NIDNPDGF_00148	CDS	360				hypothetical protein
NIDNPDGF_00149	gene	249				
NIDNPDGF_00149	CDS	249				hypothetical protein
NIDNPDGF_00150	gene	231				
NIDNPDGF_00150	CDS	231				hypothetical protein
NIDNPDGF_00151	gene	345	fur			
NIDNPDGF_00151	CDS	345	fur		COG0735	Ferric uptake regulation protein
NIDNPDGF_00152	gene	1107	atoC			
NIDNPDGF_00152	CDS	1107	atoC		COG2204	Regulatory protein AtoC
NIDNPDGF_00153	gene	1218				
NIDNPDGF_00153	CDS	1218				hypothetical protein
NIDNPDGF_00154	gene	270				
NIDNPDGF_00154	CDS	270				hypothetical protein
NIDNPDGF_00155	gene	246				
NIDNPDGF_00155	CDS	246				hypothetical protein
NIDNPDGF_00156	gene	1026				
NIDNPDGF_00156	CDS	1026				hypothetical protein
NIDNPDGF_00157	gene	534				
NIDNPDGF_00157	CDS	534				hypothetical protein
NIDNPDGF_00158	gene	1152				
NIDNPDGF_00158	CDS	1152			COG0683	Leu/Ile/Val-binding protein 
NIDNPDGF_00159	gene	270				
NIDNPDGF_00159	CDS	270				hypothetical protein
NIDNPDGF_00160	gene	231				
NIDNPDGF_00160	CDS	231				hypothetical protein
NIDNPDGF_00161	gene	1095				
NIDNPDGF_00161	CDS	1095				hypothetical protein
NIDNPDGF_00162	gene	1008	iolS_1			
NIDNPDGF_00162	CDS	1008	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
NIDNPDGF_00163	gene	396				
NIDNPDGF_00163	CDS	396				hypothetical protein
NIDNPDGF_00164	gene	483				
NIDNPDGF_00164	CDS	483				hypothetical protein
NIDNPDGF_00165	gene	390				
NIDNPDGF_00165	CDS	390				hypothetical protein
NIDNPDGF_00166	gene	891				
NIDNPDGF_00166	CDS	891				hypothetical protein
NIDNPDGF_00167	gene	495				
NIDNPDGF_00167	CDS	495				hypothetical protein
NIDNPDGF_00168	gene	1218				
NIDNPDGF_00168	CDS	1218				hypothetical protein
NIDNPDGF_00169	gene	315	rsmH			
NIDNPDGF_00169	CDS	315	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
NIDNPDGF_00170	gene	372	ftsB			
NIDNPDGF_00170	CDS	372	ftsB			Cell division protein FtsB
NIDNPDGF_00171	gene	1968	spoVD			
NIDNPDGF_00171	CDS	1968	spoVD		COG0768	Stage V sporulation protein D
NIDNPDGF_00172	gene	1239				
NIDNPDGF_00172	CDS	1239				hypothetical protein
NIDNPDGF_00173	gene	1470				
NIDNPDGF_00173	CDS	1470				hypothetical protein
NIDNPDGF_00174	gene	1494				
NIDNPDGF_00174	CDS	1494				hypothetical protein
NIDNPDGF_00175	gene	1794				
NIDNPDGF_00175	CDS	1794				hypothetical protein
NIDNPDGF_00176	gene	831	purB			
NIDNPDGF_00176	CDS	831	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
NIDNPDGF_00177	gene	444	purS			
NIDNPDGF_00177	CDS	444	purS	6.3.5.3		Phosphoribosylformylglycinamidine synthase subunit PurS
NIDNPDGF_00178	gene	1143				
NIDNPDGF_00178	CDS	1143				hypothetical protein
NIDNPDGF_00179	gene	162				
NIDNPDGF_00179	CDS	162				hypothetical protein
NIDNPDGF_00180	gene	567				
NIDNPDGF_00180	CDS	567				hypothetical protein
NIDNPDGF_00181	gene	201				
NIDNPDGF_00181	CDS	201				hypothetical protein
NIDNPDGF_00182	gene	471	mnmE			
NIDNPDGF_00182	CDS	471	mnmE	3.6.5.-	COG0486	tRNA modification GTPase MnmE
NIDNPDGF_00183	gene	978	mftC			
NIDNPDGF_00183	CDS	978	mftC	2.-.-.-	COG0535	Putative mycofactocin radical SAM maturase MftC
NIDNPDGF_00184	gene	312				
NIDNPDGF_00184	CDS	312				hypothetical protein
NIDNPDGF_00185	gene	546				
NIDNPDGF_00185	CDS	546				hypothetical protein
NIDNPDGF_00186	gene	693				
NIDNPDGF_00186	CDS	693				hypothetical protein
NIDNPDGF_00187	gene	2007	yhgF			
NIDNPDGF_00187	CDS	2007	yhgF		COG2183	Protein YhgF
NIDNPDGF_00188	gene	156				
NIDNPDGF_00188	CDS	156				hypothetical protein
NIDNPDGF_00189	gene	885				
NIDNPDGF_00189	CDS	885				hypothetical protein
NIDNPDGF_00190	gene	174				
NIDNPDGF_00190	CDS	174				hypothetical protein
NIDNPDGF_00191	gene	543				
NIDNPDGF_00191	CDS	543				hypothetical protein
NIDNPDGF_00192	gene	429				
NIDNPDGF_00192	CDS	429				hypothetical protein
NIDNPDGF_00193	gene	414				
NIDNPDGF_00193	CDS	414				hypothetical protein
NIDNPDGF_00194	gene	135				
NIDNPDGF_00194	CDS	135				hypothetical protein
NIDNPDGF_00195	gene	171				
NIDNPDGF_00195	CDS	171				hypothetical protein
NIDNPDGF_00196	gene	555				
NIDNPDGF_00196	CDS	555				hypothetical protein
NIDNPDGF_00197	gene	216				
NIDNPDGF_00197	CDS	216				hypothetical protein
NIDNPDGF_00198	gene	519	dnaA			
NIDNPDGF_00198	CDS	519	dnaA			Chromosomal replication initiator protein DnaA
NIDNPDGF_00199	gene	885				
NIDNPDGF_00199	CDS	885				hypothetical protein
NIDNPDGF_00200	gene	717				
NIDNPDGF_00200	CDS	717				hypothetical protein
NIDNPDGF_00201	gene	846				
NIDNPDGF_00201	CDS	846				hypothetical protein
NIDNPDGF_00202	gene	960				
NIDNPDGF_00202	CDS	960				hypothetical protein
NIDNPDGF_00203	gene	978				
NIDNPDGF_00203	CDS	978				hypothetical protein
NIDNPDGF_00204	gene	801	tagG			
NIDNPDGF_00204	CDS	801	tagG		COG1682	Teichoic acid translocation permease protein TagG
NIDNPDGF_00205	gene	726	tagH			
NIDNPDGF_00205	CDS	726	tagH	7.5.2.4		Teichoic acids export ATP-binding protein TagH
NIDNPDGF_00206	gene	963	rhaS_1			
NIDNPDGF_00206	CDS	963	rhaS_1			HTH-type transcriptional activator RhaS
NIDNPDGF_00207	gene	375	divK_1			
NIDNPDGF_00207	CDS	375	divK_1			Polar-differentiation response regulator DivK
NIDNPDGF_00208	gene	246	divK_2			
NIDNPDGF_00208	CDS	246	divK_2			Polar-differentiation response regulator DivK
NIDNPDGF_00209	gene	456	rnc			
NIDNPDGF_00209	CDS	456	rnc	3.1.26.3	COG0571	Ribonuclease 3
NIDNPDGF_00210	gene	1380				
NIDNPDGF_00210	CDS	1380				hypothetical protein
NIDNPDGF_00211	gene	171				
NIDNPDGF_00211	CDS	171				hypothetical protein
NIDNPDGF_00212	gene	1926				
NIDNPDGF_00212	CDS	1926				hypothetical protein
NIDNPDGF_00213	gene	573	cckA_1			
NIDNPDGF_00213	CDS	573	cckA_1			Sensor kinase CckA
NIDNPDGF_00214	gene	186				
NIDNPDGF_00214	CDS	186				hypothetical protein
NIDNPDGF_00215	gene	888	argC			
NIDNPDGF_00215	CDS	888	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
NIDNPDGF_00216	gene	1284	argJ			
NIDNPDGF_00216	CDS	1284	argJ		COG1364	Arginine biosynthesis bifunctional protein ArgJ
NIDNPDGF_00217	gene	867	argB			
NIDNPDGF_00217	CDS	867	argB	2.7.2.8	COG0548	Acetylglutamate kinase
NIDNPDGF_00218	gene	177				
NIDNPDGF_00218	CDS	177				hypothetical protein
NIDNPDGF_00219	gene	729				
NIDNPDGF_00219	CDS	729				hypothetical protein
NIDNPDGF_00220	gene	1041				
NIDNPDGF_00220	CDS	1041				hypothetical protein
NIDNPDGF_00221	gene	1332	ilvB			
NIDNPDGF_00221	CDS	1332	ilvB	2.2.1.6	COG0028	Acetolactate synthase large subunit
NIDNPDGF_00222	gene	237				
NIDNPDGF_00222	CDS	237				hypothetical protein
NIDNPDGF_00223	gene	459				
NIDNPDGF_00223	CDS	459				hypothetical protein
NIDNPDGF_00224	gene	621				
NIDNPDGF_00224	CDS	621				hypothetical protein
NIDNPDGF_00225	gene	285	hisG			
NIDNPDGF_00225	CDS	285	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
NIDNPDGF_00226	gene	510				
NIDNPDGF_00226	CDS	510				hypothetical protein
NIDNPDGF_00227	gene	774				
NIDNPDGF_00227	CDS	774				hypothetical protein
NIDNPDGF_00228	gene	1644				
NIDNPDGF_00228	CDS	1644				hypothetical protein
NIDNPDGF_00229	gene	258				
NIDNPDGF_00229	CDS	258				hypothetical protein
NIDNPDGF_00230	gene	300				
NIDNPDGF_00230	CDS	300				hypothetical protein
NIDNPDGF_00231	gene	792	oppA_1			
NIDNPDGF_00231	CDS	792	oppA_1		COG4166	Oligopeptide-binding protein OppA
NIDNPDGF_00232	gene	474				
NIDNPDGF_00232	CDS	474				hypothetical protein
NIDNPDGF_00233	gene	843				
NIDNPDGF_00233	CDS	843				hypothetical protein
NIDNPDGF_00234	gene	76				
NIDNPDGF_00234	tRNA	76				tRNA-Thr(ggt)
NIDNPDGF_00235	gene	1185	tufA			
NIDNPDGF_00235	CDS	1185	tufA		COG0050	Elongation factor Tu
NIDNPDGF_00236	gene	74				
NIDNPDGF_00236	tRNA	74				tRNA-Trp(cca)
NIDNPDGF_00237	gene	315				
NIDNPDGF_00237	CDS	315				hypothetical protein
NIDNPDGF_00238	gene	618	nusG			
NIDNPDGF_00238	CDS	618	nusG		COG0250	Transcription termination/antitermination protein NusG
NIDNPDGF_00239	gene	426	rplK			
NIDNPDGF_00239	CDS	426	rplK		COG0080	50S ribosomal protein L11
NIDNPDGF_00240	gene	465				
NIDNPDGF_00240	CDS	465				hypothetical protein
NIDNPDGF_00241	gene	396				
NIDNPDGF_00241	CDS	396				hypothetical protein
NIDNPDGF_00242	gene	297				
NIDNPDGF_00242	CDS	297				hypothetical protein
NIDNPDGF_00243	gene	678				
NIDNPDGF_00243	CDS	678				hypothetical protein
NIDNPDGF_00244	gene	306				
NIDNPDGF_00244	CDS	306				hypothetical protein
NIDNPDGF_00245	gene	1170	cysJ			
NIDNPDGF_00245	CDS	1170	cysJ	1.8.1.2	COG0369	Sulfite reductase [NADPH] flavoprotein alpha-component
NIDNPDGF_00246	gene	378	phoP			
NIDNPDGF_00246	CDS	378	phoP		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
NIDNPDGF_00247	gene	2067				
NIDNPDGF_00247	CDS	2067				hypothetical protein
NIDNPDGF_00248	gene	573				
NIDNPDGF_00248	CDS	573				hypothetical protein
NIDNPDGF_00249	gene	1707				
NIDNPDGF_00249	CDS	1707				hypothetical protein
NIDNPDGF_00250	gene	204				
NIDNPDGF_00250	CDS	204				hypothetical protein
NIDNPDGF_00251	gene	771	rluD			
NIDNPDGF_00251	CDS	771	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
NIDNPDGF_00252	gene	510	dinB			
NIDNPDGF_00252	CDS	510	dinB	2.7.7.7		DNA polymerase IV
NIDNPDGF_00253	gene	627	resA_1			
NIDNPDGF_00253	CDS	627	resA_1			Thiol-disulfide oxidoreductase ResA
NIDNPDGF_00254	gene	1515	dnaC			
NIDNPDGF_00254	CDS	1515	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
NIDNPDGF_00255	gene	1005	secY			
NIDNPDGF_00255	CDS	1005	secY		COG0201	Protein translocase subunit SecY
NIDNPDGF_00256	gene	150				
NIDNPDGF_00256	CDS	150				hypothetical protein
NIDNPDGF_00257	gene	1242	pgsA			
NIDNPDGF_00257	CDS	1242	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
NIDNPDGF_00258	gene	1446	rimO			
NIDNPDGF_00258	CDS	1446	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
NIDNPDGF_00259	gene	900	rodZ			
NIDNPDGF_00259	CDS	900	rodZ		COG1426	Cytoskeleton protein RodZ
