# Assembly name:  4840_6#7
# Organism name:  Yersinia frederiksenii (enterobacteria)
# Infraspecific name:  strain=RS-42
# Taxid:          29484
# BioSample:      SAMEA859974
# BioProject:     PRJEB2117
# Submitter:      SC
# Date:           2015-07-17
# Assembly type:  na
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    CQDT01
# Assembly method: Prokka
# Genome coverage: 100x
# Sequencing technology: SLX
# Excluded from RefSeq: unverified source organism
# Assembly anomaly: unverified source organism
# GenBank assembly accession: GCA_001171065.1
# RefSeq assembly accession: GCF_001171065.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_001171075.1	GCF_001171075.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
CQDT01000039	unplaced-scaffold	na	na	CQDT01000039.1	=	NZ_CQDT01000039.1	Primary Assembly	33105	na
CQDT01000040	unplaced-scaffold	na	na	CQDT01000040.1	=	NZ_CQDT01000040.1	Primary Assembly	27117	na
CQDT01000041	unplaced-scaffold	na	na	CQDT01000041.1	=	NZ_CQDT01000041.1	Primary Assembly	25359	na
CQDT01000042	unplaced-scaffold	na	na	CQDT01000042.1	=	NZ_CQDT01000042.1	Primary Assembly	25304	na
CQDT01000043	unplaced-scaffold	na	na	CQDT01000043.1	=	NZ_CQDT01000043.1	Primary Assembly	24744	na
CQDT01000044	unplaced-scaffold	na	na	CQDT01000044.1	=	NZ_CQDT01000044.1	Primary Assembly	23362	na
CQDT01000045	unplaced-scaffold	na	na	CQDT01000045.1	=	NZ_CQDT01000045.1	Primary Assembly	23332	na
CQDT01000046	unplaced-scaffold	na	na	CQDT01000046.1	=	NZ_CQDT01000046.1	Primary Assembly	20221	na
CQDT01000047	unplaced-scaffold	na	na	CQDT01000047.1	=	NZ_CQDT01000047.1	Primary Assembly	18921	na
CQDT01000048	unplaced-scaffold	na	na	CQDT01000048.1	=	NZ_CQDT01000048.1	Primary Assembly	15838	na
CQDT01000049	unplaced-scaffold	na	na	CQDT01000049.1	=	NZ_CQDT01000049.1	Primary Assembly	13498	na
CQDT01000050	unplaced-scaffold	na	na	CQDT01000050.1	=	NZ_CQDT01000050.1	Primary Assembly	13055	na
CQDT01000051	unplaced-scaffold	na	na	CQDT01000051.1	=	NZ_CQDT01000051.1	Primary Assembly	12786	na
CQDT01000052	unplaced-scaffold	na	na	CQDT01000052.1	=	NZ_CQDT01000052.1	Primary Assembly	9565	na
CQDT01000053	unplaced-scaffold	na	na	CQDT01000053.1	=	NZ_CQDT01000053.1	Primary Assembly	6959	na
CQDT01000054	unplaced-scaffold	na	na	CQDT01000054.1	=	NZ_CQDT01000054.1	Primary Assembly	6740	na
CQDT01000055	unplaced-scaffold	na	na	CQDT01000055.1	=	NZ_CQDT01000055.1	Primary Assembly	4653	na
CQDT01000056	unplaced-scaffold	na	na	CQDT01000056.1	=	NZ_CQDT01000056.1	Primary Assembly	4256	na
CQDT01000057	unplaced-scaffold	na	na	CQDT01000057.1	=	NZ_CQDT01000057.1	Primary Assembly	4256	na
CQDT01000058	unplaced-scaffold	na	na	CQDT01000058.1	=	NZ_CQDT01000058.1	Primary Assembly	4066	na
CQDT01000059	unplaced-scaffold	na	na	CQDT01000059.1	=	NZ_CQDT01000059.1	Primary Assembly	3615	na
CQDT01000060	unplaced-scaffold	na	na	CQDT01000060.1	=	NZ_CQDT01000060.1	Primary Assembly	3485	na
CQDT01000061	unplaced-scaffold	na	na	CQDT01000061.1	=	NZ_CQDT01000061.1	Primary Assembly	2685	na
CQDT01000062	unplaced-scaffold	na	na	CQDT01000062.1	=	NZ_CQDT01000062.1	Primary Assembly	2597	na
CQDT01000063	unplaced-scaffold	na	na	CQDT01000063.1	=	NZ_CQDT01000063.1	Primary Assembly	2578	na
CQDT01000064	unplaced-scaffold	na	na	CQDT01000064.1	=	NZ_CQDT01000064.1	Primary Assembly	2183	na
CQDT01000065	unplaced-scaffold	na	na	CQDT01000065.1	=	NZ_CQDT01000065.1	Primary Assembly	2018	na
CQDT01000066	unplaced-scaffold	na	na	CQDT01000066.1	=	NZ_CQDT01000066.1	Primary Assembly	1939	na
CQDT01000067	unplaced-scaffold	na	na	CQDT01000067.1	=	NZ_CQDT01000067.1	Primary Assembly	1934	na
CQDT01000068	unplaced-scaffold	na	na	CQDT01000068.1	=	NZ_CQDT01000068.1	Primary Assembly	1331	na
CQDT01000069	unplaced-scaffold	na	na	CQDT01000069.1	=	NZ_CQDT01000069.1	Primary Assembly	1091	na
CQDT01000070	unplaced-scaffold	na	na	CQDT01000070.1	=	NZ_CQDT01000070.1	Primary Assembly	577	na
CQDT01000071	unplaced-scaffold	na	na	CQDT01000071.1	=	NZ_CQDT01000071.1	Primary Assembly	491	na
CQDT01000072	unplaced-scaffold	na	na	CQDT01000072.1	=	NZ_CQDT01000072.1	Primary Assembly	486	na
CQDT01000073	unplaced-scaffold	na	na	CQDT01000073.1	=	NZ_CQDT01000073.1	Primary Assembly	330	na
